كَتَبَ	كتب	kátaba
أَفَكَتَبْنَاكُمَا	أفكتبناكما	ʾafakatabnā́kuma̱
أَفَكَتَبْنَاهَا	أفكتبناها	ʾafakatabnā́ha̱
أَفَكَتَبْنَاهُ	أفكتبناه	ʾafakatabnā́hu
أَفَكَتَبْنَاهُمْ	أفكتبناهم	ʾafakatabnā́hum
أَفَكَتَبْنَاهُمَا	أفكتبناهما	ʾafakatabnā́huma̱
أَفَكَتَبْنَاهُنَّ	أفكتبناهن	ʾafakatabnāhúnna
أَفَكَتَبْنَاكُنَّ	أفكتبناكن	ʾafakatabnākúnna
كَتَبْتُ	كتبت	katábtu
كَتَبْتُنِي	كتبتني	katábtuni̱
كَتَبْتُنَا	كتبتنا	katábtuna̱
كَتَبْتُكَ	كتبتك	katábtuka
كَتَبْتُكِ	كتبتك	katábtuki
كَتَبْتُكُمْ	كتبتكم	katábtukum
كَتَبْتُكُمَا	كتبتكما	katabtúkuma̱
كَتَبْتُهَا	كتبتها	katábtuha̱
كَتَبْتُهُ	كتبته	katábtuhu
كَتَبْتُهُمْ	كتبتهم	katábtuhum
كَتَبْتُهُمَا	كتبتهما	katabtúhuma̱
كَتَبْتُهُنَّ	كتبتهن	katabtuhúnna
كَتَبْتُكُنَّ	كتبتكن	katabtukúnna
وَكَتَبْتُ	وكتبت	wakatábtu
وَكَتَبْتُنِي	وكتبتني	wakatábtuni̱
وَكَتَبْتُنَا	وكتبتنا	wakatábtuna̱
وَكَتَبْتُكَ	وكتبتك	wakatábtuka
وَكَتَبْتُكِ	وكتبتك	wakatábtuki
وَكَتَبْتُكُمْ	وكتبتكم	wakatábtukum
وَكَتَبْتُكُمَا	وكتبتكما	wakatabtúkuma̱
وَكَتَبْتُهَا	وكتبتها	wakatábtuha̱
وَكَتَبْتُهُ	وكتبته	wakatábtuhu
وَكَتَبْتُهُمْ	وكتبتهم	wakatábtuhum
وَكَتَبْتُهُمَا	وكتبتهما	wakatabtúhuma̱
وَكَتَبْتُهُنَّ	وكتبتهن	wakatabtuhúnna
وَكَتَبْتُكُنَّ	وكتبتكن	wakatabtukúnna
فَكَتَبْتُ	فكتبت	fakatábtu
فَكَتَبْتُنِي	فكتبتني	fakatábtuni̱
فَكَتَبْتُنَا	فكتبتنا	fakatábtuna̱
فَكَتَبْتُكَ	فكتبتك	fakatábtuka
فَكَتَبْتُكِ	فكتبتك	fakatábtuki
فَكَتَبْتُكُمْ	فكتبتكم	fakatábtukum
فَكَتَبْتُكُمَا	فكتبتكما	fakatabtúkuma̱
فَكَتَبْتُهَا	فكتبتها	fakatábtuha̱
فَكَتَبْتُهُ	فكتبته	fakatábtuhu
فَكَتَبْتُهُمْ	فكتبتهم	fakatábtuhum
فَكَتَبْتُهُمَا	فكتبتهما	fakatabtúhuma̱
فَكَتَبْتُهُنَّ	فكتبتهن	fakatabtuhúnna
فَكَتَبْتُكُنَّ	فكتبتكن	fakatabtukúnna
أَكَتَبْتُ	أكتبت	ʾakatábtu
أَكَتَبْتُنِي	أكتبتني	ʾakatábtuni̱
أَكَتَبْتُنَا	أكتبتنا	ʾakatábtuna̱
أَكَتَبْتُكَ	أكتبتك	ʾakatábtuka
أَكَتَبْتُكِ	أكتبتك	ʾakatábtuki
أَكَتَبْتُكُمْ	أكتبتكم	ʾakatábtukum
أَكَتَبْتُكُمَا	أكتبتكما	ʾakatabtúkuma̱
أَكَتَبْتُهَا	أكتبتها	ʾakatábtuha̱
أَكَتَبْتُهُ	أكتبته	ʾakatábtuhu
